Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
Cu(OAc)2	L9	0.1	TBAO	2	EtOH	1	80	1.1	13.06	82.12	8	TS
Cu(OAc)2	L12	0.05	K3PO4	2	iBuOH	1	80	1.1	64.47	80.45	8	TS
CuBr	L7	0.05	K2CO3	1	DMSO	1	80	1.5	59.01	70.10	8	TS
CuCl	L2	0.1	K2CO3	0.5	2Me-THF	0.5	80	1.5	3.29	15.46	8	TS
Cu2O	L3	0.05	Et3N	2	PhMe	0.5	80	1.5	1.62	11.50	8	TS
CuBr	L1	0.05	Et3N	2	2Me-THF	0.5	60	1.5	0.41	4.39	8	TS
CuCl	L1	0.1	Et3N	1	2Me-THF	1	80	1.5	2.65	24.30	8	TS
CuI	L9	0.1	Et3N	1	DMSO	0.5	60	1.5	10.77	27.53	8	TS
Cu(OAc)2	L9	0.1	K2CO3	1	ACN	1	80	1.1	16.24	29.99	9	TS
Cu2O	L10	0.1	KOH	1	ACN	0.5	80	1.1	32.51	73.13	9	TS
CuBr	L4	0.05	Et3N	1	EtOH	1	60	1.5	6.41	15.60	9	TS
CuCl	L5	0.1	Et3N	0.5	PhMe	0.5	60	1.1	1.21	14.25	9	TS
CuCl	L12	0.05	NaOAc	1	iBuOH	0.5	60	1.1	5.57	31.87	9	TS
CuCl	L8	0.05	Cs2CO3	2	DMSO	0.5	60	1.1	9.61	32.29	9	TS
CuCl	L3	0.05	NaOAc	2	ACN	1	60	1.1	1.43	7.47	9	TS
CuI	L9	0.1	NaOAc	1	EtOH	1	60	1.1	4.97	35.40	9	TS
Cu(OAc)2	L8	0.1	K2CO3	2	DMSO	1	80	1.1	34.54	41.14	10	TS
Cu2O	L11	0.05	TBAO	0.5	iBuOH	1	80	1.1	30.55	72.78	10	TS
CuCl	L12	0.1	K2CO3	1	DMSO	0.5	80	1.1	39.52	62.41	10	TS
CuCl	L10	0.05	K3PO4	0.5	iBuOH	0.5	80	1.5	18.42	39.84	10	TS
Cu2O	L6	0.05	Cs2CO3	2	PhMe	0.5	80	1.1	0.38	1.00	10	TS
CuBr	L2	0.05	Et3N	1	EtOH	0.5	80	1.1	2.95	32.48	10	TS
CuCl	L5	0.05	KOH	1	ACN	1	80	1.5	37.40	78.95	10	TS
Cu2O	L1	0.05	KOH	2	ACN	1	80	1.5	2.75	100.00	10	TS
Cu(OAc)2	L5	0.05	Cs2CO3	2	PhMe	0.5	60	1.5	0	06.01	0	EI
Cu(OAc)2	L8	0.05	Cs2CO3	2	PhMe	1	80	1.1	0	2.52	0	EI
Cu(OAc)2	L10	0.05	Et3N	1	EtOH	0.5	60	1.1	0	11.24	0	EI
Cu2O	L3	0.1	TBAO	2	EtOH	1	80	1.5	20.63	74.42	0	EI
CuBr	L5	0.1	NaOtBu	0.5	PhMe	1	60	1.1	0	34.35	0	EI
Cu2O	L5	0.1	Et3N	1	2Me-THF	1	80	1.1	4.61	16.06	0	EI
